time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-08-07T04:42:16.180Z,35.0873333,-119.0961667,1.8,2.67,ml,60,29,0.03041,0.29,ci,ci40865472,2024-08-07T09:45:29.856Z,"22 km NW of Grapevine, CA",earthquake,0.25,1.19,0.179,25,automatic,ci,ci
2024-08-07T04:39:22.330Z,35.0961667,-119.1061667,2.4,2.51,ml,58,23,0.04173,0.27,ci,ci40865440,2024-08-07T08:22:00.816Z,"23 km NW of Grapevine, CA",earthquake,0.23,1.07,0.166,25,automatic,ci,ci
2024-08-07T04:38:18.400Z,35.1185,-119.0995,0.87,2.88,ml,44,30,0.06113,0.27,ci,ci40865432,2024-08-07T09:14:31.983Z,"23 km SW of Lamont, CA",earthquake,0.29,1.13,0.18,18,automatic,ci,ci
2024-08-07T04:37:50.420Z,35.1196667,-119.0961667,2.71,2.73,ml,60,22,0.06176,0.28,ci,ci40865424,2024-08-07T09:27:25.482Z,"23 km SW of Lamont, CA",earthquake,0.23,1.19,0.189,28,automatic,ci,ci
2024-08-07T04:35:21.860Z,35.0805,-119.0881667,2.32,2.5,ml,58,22,0.02214,0.26,ci,ci40865400,2024-08-07T09:46:00.798Z,"21 km NW of Grapevine, CA",earthquake,0.22,1.07,0.168,25,automatic,ci,ci
2024-08-07T04:32:09.680Z,35.094,-119.0833333,-0.99,2.45,ml,54,43,0.03532,0.33,ci,ci40865384,2024-08-07T08:33:00.722Z,"22 km NW of Grapevine, CA",earthquake,0.31,0.96,0.145,26,automatic,ci,ci
2024-08-07T04:30:46.220Z,35.1041667,-119.102,0.36,2.45,ml,45,31,0.04785,0.26,ci,ci40865376,2024-08-07T08:16:54.667Z,"24 km NW of Grapevine, CA",earthquake,0.25,1.06,0.149,31,automatic,ci,ci
2024-08-07T04:29:35.990Z,35.098835,-119.1011658,7.05,3.3,ml,91,20,0.04259,0.31,ci,ci40865360,2024-08-07T08:28:25.341Z,"23 km NW of Grapevine, CA",earthquake,0.25,1.09,0.383,23,reviewed,ci,ci
2024-08-07T04:28:52.520Z,35.083,-119.102,1.93,2.48,ml,44,48,0.02856,0.26,ci,ci40865352,2024-08-07T08:59:11.286Z,"22 km NW of Grapevine, CA",earthquake,0.32,1.02,0.148,25,automatic,ci,ci
2024-08-07T04:26:50.020Z,35.1153333,-119.1203333,2,2.6,ml,39,87,0.06404,0.28,ci,ci40865336,2024-08-07T09:53:07.197Z,"25 km SW of Lamont, CA",earthquake,0.28,1.09,0.127,27,automatic,ci,ci
2024-08-07T04:26:35.660Z,35.1048333,-119.1103333,2.79,2.6,ml,33,106,0.051,0.24,ci,ci40865328,2024-08-07T09:53:32.655Z,"24 km NW of Grapevine, CA",earthquake,0.39,1.31,0.187,26,automatic,ci,ci
2024-08-07T04:21:50.480Z,35.0608333,-119.0923333,15.41,3.13,ml,19,107,0.007346,0.26,ci,ci40865272,2024-08-07T09:56:37.894Z,"20 km NW of Grapevine, CA",earthquake,0.71,0.61,0.197,26,automatic,ci,ci
2024-08-07T04:21:50.470Z,35.0893326,-119.0963364,3.68,3.27,ml,73,104,0.03234,0.29,ci,ci40865280,2024-08-07T09:55:45.331Z,"22 km NW of Grapevine, CA",earthquake,0.36,0.89,0.43,21,reviewed,ci,ci
2024-08-07T04:20:39.730Z,35.0821667,-119.09,2.8,2.47,ml,40,41,0.02406,0.24,ci,ci40865264,2024-08-07T08:14:59.163Z,"21 km NW of Grapevine, CA",earthquake,0.29,1.11,0.128,27,automatic,ci,ci
2024-08-07T04:19:23.550Z,35.0958328,-119.1156693,9.28,3.39,ml,28,55,0.04542,0.29,ci,ci40865248,2024-08-07T08:05:25.847Z,"24 km NW of Grapevine, CA",earthquake,0.43,0.87,0.324,11,reviewed,ci,ci
2024-08-07T04:19:10.860Z,35.0841667,-119.1081667,1.24,2.83,ml,22,49,0.03241,0.24,ci,ci40865240,2024-08-07T10:02:16.687Z,"23 km NW of Grapevine, CA",earthquake,0.36,1.45,0.161,22,automatic,ci,ci
2024-08-07T04:17:46.780Z,35.0970001,-119.1159973,6.47,3.75,mlr,45,71,0.04653,0.22,ci,ci40865232,2024-08-07T10:03:14.300Z,"24 km NW of Grapevine, CA",earthquake,0.29,1.44,0.178,34,reviewed,ci,ci
2024-08-07T04:17:10.130Z,35.1085014,-119.0748367,10.55,4.07,mw,117,21,0.05033,0.32,ci,ci40865224,2024-08-07T11:16:40.359Z,"22 km SW of Lamont, CA",earthquake,0.23,0.65,,4,reviewed,ci,ci
2024-08-07T04:15:43.556Z,-26.9594,-71.1503,12.323,4.6,mwr,46,144,0.812,0.85,us,us6000nih5,2024-08-07T05:50:58.519Z,"92 km WNW of Copiapó, Chile",earthquake,3.24,4.109,0.055,32,reviewed,us,us
2024-08-07T04:15:14.900Z,35.0648346,-119.0684967,10.48,3.1,ml,17,59,0.01401,0.24,ci,ci40865208,2024-08-07T08:52:02.873Z,"18 km NW of Grapevine, CA",earthquake,0.59,0.87,0.288,5,automatic,ci,ci
2024-08-07T04:14:00.620Z,35.0660019,-119.0773315,11.19,2.97,ml,20,86,0.009094,0.24,ci,ci40865200,2024-08-07T08:51:32.350Z,"19 km NW of Grapevine, CA",earthquake,0.69,1.18,0.241,6,automatic,ci,ci
2024-08-07T04:13:16.736Z,35.0857,-119.0778,12.782,3.2,ml,16,55,0.553,0.37,us,us6000niii,2024-08-07T09:47:18.424Z,"10 km WNW of Mettler, California",earthquake,1.85,0.583,0.064,32,reviewed,us,us
2024-08-07T04:12:12.043Z,35.0708,-119.0647,10,3.5,ml,10,93,0.535,0.57,us,us6000nii6,2024-08-07T13:25:21.247Z,"8 km W of Mettler, California",earthquake,1.29,1.901,0.081,20,reviewed,us,us
2024-08-07T04:10:44.560Z,35.1031667,-119.1165,12.37,4.45,mlr,24,82,0.05193,0.22,ci,ci40865192,2024-08-07T13:36:44.129Z,"25 km NW of Grapevine, CA",earthquake,0.42,0.85,0.221,10,reviewed,ci,ci
2024-08-07T04:09:56.870Z,35.1108322,-119.0920029,11.67,5.22,mw,124,21,0.05254,0.33,ci,ci40865184,2024-08-07T13:38:55.163Z,"23 km SW of Lamont, CA",earthquake,0.27,1.04,,6,reviewed,ci,ci
2024-08-07T03:20:58.667Z,-17.7187,-179.954,606.155,4.9,mb,32,77,1.9,0.8,us,us6000nigu,2024-08-07T03:30:15.040Z,"86 km ENE of Levuka, Fiji",earthquake,13.16,12.254,0.125,20,reviewed,us,us
2024-08-07T02:44:49.676Z,29.4181,102.0349,10,4.3,mb,20,114,15.191,0.78,us,us6000nign,2024-08-07T03:08:42.040Z,"65 km S of Kangding, China",earthquake,6.03,1.958,0.129,17,reviewed,us,us
2024-08-07T02:32:28.197Z,37.6819,35.9702,10,4.6,mwr,78,41,0.315,0.43,us,us6000nigk,2024-08-07T10:13:34.165Z,"15 km SSE of Feke, Turkey",earthquake,4.36,1.878,0.056,31,reviewed,us,us
2024-08-07T02:10:05.389Z,34.52616667,-97.28716667,2.75,2.56,ml,97,60,0.0674867568,0.28,ok,ok2024pkhm,2024-08-07T12:44:14.064Z,"8 km SE of Katie, Oklahoma",earthquake,,0.7,0.23,33,reviewed,ok,ok
2024-08-07T01:05:50.817Z,54.8162,-161.5102,86.586,2.8,ml,13,194,0.741,0.22,us,us6000nig5,2024-08-07T02:17:49.040Z,"58 km ESE of King Cove, Alaska",earthquake,6.53,11.025,0.077,22,reviewed,us,us
2024-08-07T00:16:24.940Z,34.0756667,-117.8413333,11.9,2.5,ml,139,20,0.03267,0.23,ci,ci40865040,2024-08-07T13:39:25.457Z,"3 km S of Charter Oak, CA",earthquake,0.13,0.3,0.243,25,reviewed,ci,ci
2024-08-06T23:22:13.561Z,51.6044,16.125,4.999,4,mb,46,39,1.262,0.93,us,us6000nifx,2024-08-06T23:36:20.040Z,"2 km WNW of Grębocice, Poland",earthquake,4.83,5.038,0.172,9,reviewed,us,us
2024-08-06T21:22:49.494Z,-24.4277,-177.6308,208.894,5.6,mww,62,75,3.911,1.08,us,us6000nifm,2024-08-06T23:25:37.000Z,"south of the Fiji Islands",earthquake,9.39,5.906,0.071,19,reviewed,us,us
2024-08-06T19:26:36.370Z,18.1653333333333,-66.7356666666667,17.37,2.5,md,18,80,0.08821,0.2,pr,pr71457038,2024-08-06T19:44:10.620Z,"1 km WNW of Adjuntas, Puerto Rico",earthquake,0.35,0.49,0.11991338086801,7,reviewed,pr,pr
2024-08-06T19:25:16.120Z,19.3803333333333,-155.237666666667,0.11,3.5,md,43,74,0.00728,0.15,hv,hv74388076,2024-08-06T21:01:24.903Z,"6 km S of Volcano, Hawaii",earthquake,0.18,0.13,0.249166602908683,12,reviewed,hv,hv
2024-08-06T18:18:56.740Z,17.5961666666667,-63.9828333333333,2.33,3.42,md,15,160,1.02,0.19,pr,pr71457023,2024-08-06T19:05:53.040Z,"77 km W of The Bottom, Bonaire, Saint Eustatius and Saba ",earthquake,1.05,0.85,0.0464681528536159,4,reviewed,pr,pr
2024-08-06T17:48:44.358Z,-37.4355,146.3566,10,3.9,mb,15,69,0.702,0.52,us,us6000niec,2024-08-07T10:28:08.393Z,"32 km SSW of Mount Buller, Australia",earthquake,4.56,1.823,0.194,7,reviewed,us,us
2024-08-06T17:39:49.299Z,-17.8669,-178.156,517.452,4.5,mb,53,72,3.614,1.06,us,us6000niea,2024-08-06T19:00:35.040Z,"268 km E of Levuka, Fiji",earthquake,13.01,7.473,0.09,36,reviewed,us,us
2024-08-06T14:37:58.508Z,61.5948,-142.331,0,2.7,ml,,,,0.9,ak,ak024a2f94mi,2024-08-06T17:01:47.040Z,"36 km ENE of McCarthy, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-08-06T13:43:38.926Z,31.668,-104.455,5.5359,2.8,ml,41,64,0,0.1,tx,tx2024pjiv,2024-08-06T15:52:50.040Z,"56 km S of Whites City, New Mexico",earthquake,0.910574946453579,0.5317019509010656,0.1,24,reviewed,tx,tx
2024-08-06T13:15:17.003Z,-8.6765,-79.707,36.617,4.8,mb,108,138,4.332,0.45,us,us6000nici,2024-08-06T14:59:58.040Z,"93 km SW of Huanchaquito Alto, Peru",earthquake,9.84,7.776,0.041,192,reviewed,us,us
